Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 65, 0.69,1.07, 6343471, .5,
ADBE, Adobe Systems Incorporated, 149.96, -6.64,-4.24, 9372014, -2.9,
AKAM, Akamai Technologies Inc., 47.67, -0.02,-0.04, 1405979, .0,
ALXN, Alexion Pharmaceuticals Inc., 142.92, 0.09,0.06, 1407545, .0,
GOOG, Alphabet Inc., 931.58, 9.77,1.06, 1669753, 3.0,
GOOGL, Alphabet Inc., 947.54, 10.68,1.14, 2003918, 2.8,
AMZN, Amazon.com Inc., 973.21, 3.35,0.35, 2887937, 1.4,
AAL, American Airlines Group Inc., 45.42, 1.04,2.34, 4708125, .4,
AMGN, Amgen Inc., 188.17, 1.85,0.99, 2685371, 1.2,
ADI, Analog Devices Inc., 83.69, -1.55,-1.82, 2171787, -.5,
AAPL, Apple Inc., 156.07, -2.66,-1.68, 52945873, -12.0,
AMAT, Applied Materials Inc., 47.28, -0.98,-2.03, 11021203, -.9,
ADSK, Autodesk Inc., 112.73, -0.35,-0.31, 1783172, -.1,
ADP, Automatic Data Processing Inc., 106.83, -0.65,-0.6, 2471870, -.3,
BIDU, Baidu Inc., 237.96, 0.11,0.05, 2008506, .0,
BIIB, Biogen Inc., 319, 1.07,0.34, 849480, .2,
BMRN, BioMarin Pharmaceutical Inc., 92.57, 0.47,0.51, 1154073, .1,
AVGO, Broadcom Limited, 242.91, -6.85,-2.74, 5700688, -2.4,
CA, CA Inc., 32.61, -0.29,-0.88, 1866052, -.1,
CELG, Celgene Corporation, 144.24, 0.77,0.54, 3865741, .5,
CERN, Cerner Corporation, 69.7, 0.04,0.06, 1506507, .0,
CHTR, Charter Communications Inc., 367.01, 2.99,0.82, 2156826, .7,
CHKP, Check Point Software Technologies Ltd., 111.27, -1.71,-1.51, 1007272, -.2,
CTAS, Cintas Corporation, 136.52, 1.77,1.31, 619194, .2,
CSCO, Cisco Systems Inc., 32.6, 0.11,0.34, 19865366, .5,
CTXS, Citrix Systems Inc., 76.47, -0.01,-0.01, 1582882, .0,
CTSH, Cognizant Technology Solutions Corporation, 72.46, -0.04,-0.06, 2568540, .0,
CMCSA, Comcast Corporation, 37.46, 0.16,0.43, 31081275, .7,
COST, Costco Wholesale Corporation, 162.85, 1.29,0.8, 2432302, .5,
CSX, CSX Corporation, 52.81, 1.03,1.99, 4503544, .8,
CTRP, Ctrip.com International Ltd., 53.45, 0.43,0.81, 3876373, .2,
XRAY, DENTSPLY SIRONA Inc., 58.65, 0.8,1.38, 1107148, .2,
DISCA, Discovery Communications Inc., 21.26, -0.03,-0.14, 3982425, .0,
DISCK, Discovery Communications Inc., 20.07, 0.01,0.05, 2701909, .0,
DISH, DISH Network Corporation, 53.56, 0.18,0.34, 2677468, .0,
DLTR, Dollar Tree Inc., 83.42, -0.01,-0.01, 1784351, .0,
EBAY, eBay Inc., 38.54, -0.05,-0.13, 6424624, -.1,
EA, Electronic Arts Inc., 120.34, 0.13,0.11, 2393280, .0,
EXPE, Expedia Inc., 143.01, 1.54,1.09, 1664845, .2,
ESRX, Express Scripts Holding Company, 61.82, 0.82,1.34, 6855629, .4,
FB, Facebook Inc., 172.17, -0.35,-0.2, 12261811, -.7,
FAST, Fastenal Company, 44.56, 0.36,0.81, 3011689, .1,
FISV, Fiserv Inc., 125.1, -0.07,-0.06, 520528, .0,
GILD, Gilead Sciences Inc., 82.64, 0.35,0.43, 6354725, .4,
HAS, Hasbro Inc., 95.52, 0.53,0.56, 1304976, .1,
HSIC, Henry Schein Inc., 80.39, 1.25,1.58, 2689866, .2,
HOLX, Hologic Inc., 37.38, 0.25,0.67, 3965733, .1,
IDXX, IDEXX Laboratories Inc., 158.48, -2.05,-1.28, 395027, -.2,
ILMN, Illumina Inc., 203.09, -1.86,-0.91, 1071887, -.2,
